source_frame,target_frame,source_index,target_index,tick,gap,row_max_certainty,row_min_certainty,target_pred_label,target_pred_name,target_pred_confidence,target_self_nll_loss,target_certainty_score,target_uncertainty_score,attention_peak,attention_entropy,subject_area_fraction,subject_attention_mass,subject_lift
frame_000,frame_001,0,1,5,1,False,False,874,"trolleybus, trolley coach, trackless trolley",0.24164803890405862,1.4202729961634173,0.6613006591796875,0.3386993408203125,0.03669398310146165,5.084352273705113,0.10560344827586207,0.5411835320676083,5.1246767118238825
frame_000,frame_002,0,2,5,2,False,False,874,"trolleybus, trolley coach, trackless trolley",0.2547780391433597,1.3673625476039186,0.6510615944862366,0.3489384055137634,0.05872455638369597,5.033723632781594,0.09913793103448276,0.5349571212161544,5.396089222702079
frame_000,frame_003,0,3,5,3,False,False,479,car wheel,0.31752760101793204,1.1471905320878442,0.6838889122009277,0.31611108779907227,0.05411029647815801,5.035170176886268,0.09913793103448276,0.5537793461502593,5.585948187254789
frame_000,frame_004,0,4,5,4,False,False,874,"trolleybus, trolley coach, trackless trolley",0.31872205704553996,1.1434358505230842,0.6651920676231384,0.3348079323768616,0.054996952307220945,5.036245307709665,0.09698275862068965,0.5561447912687703,5.734470736637987
frame_000,frame_005,0,5,5,5,False,False,874,"trolleybus, trolley coach, trackless trolley",0.2755973219634,1.2888144570037783,0.6501997709274292,0.3498002290725708,0.05898115349453805,5.004142007615986,0.09698275862068965,0.5679461840494308,5.856156208865242
frame_000,frame_006,0,6,5,6,False,False,874,"trolleybus, trolley coach, trackless trolley",0.4426354360086027,0.815008791288105,0.7059887647628784,0.2940112352371216,0.06022450312788507,5.004215441016559,0.08836206896551724,0.5423067990145565,6.13732572543303
frame_000,frame_007,0,7,5,7,False,False,874,"trolleybus, trolley coach, trackless trolley",0.37234274436533193,0.9879404930759481,0.6859761476516724,0.31402385234832764,0.044363849724782,4.997349536896335,0.08620689655172414,0.5346092678368717,6.201467506907711
frame_000,frame_008,0,8,5,8,False,False,874,"trolleybus, trolley coach, trackless trolley",0.39928232023583066,0.9180865427882017,0.6804543733596802,0.3195456266403198,0.05100161300358698,4.947963380126354,0.08405172413793104,0.563793792399143,6.707700504441085
frame_000,frame_009,0,9,5,9,False,False,874,"trolleybus, trolley coach, trackless trolley",0.3841405524175838,0.9567467714433011,0.7010727524757385,0.2989272475242615,0.05250014965681701,5.032934969109971,0.07758620689655173,0.49488288575359934,6.378490527490836
frame_000,frame_010,0,10,5,10,False,False,874,"trolleybus, trolley coach, trackless trolley",0.44189791406318135,0.8166763872386129,0.7292389869689941,0.27076101303100586,0.05349279934873973,5.0138190373377185,0.07758620689655173,0.5318685625112102,6.855194805700042
frame_000,frame_011,0,11,5,11,False,False,874,"trolleybus, trolley coach, trackless trolley",0.5001695303054033,0.6928081774171977,0.729582667350769,0.27041733264923096,0.03906869570760045,5.009145934558703,0.07543103448275862,0.5320024844624699,7.0528329368738865
