source_frame,target_frame,source_index,target_index,tick,gap,row_max_certainty,row_min_certainty,target_pred_label,target_pred_name,target_pred_confidence,target_self_nll_loss,target_certainty_score,target_uncertainty_score,attention_peak,attention_entropy,subject_area_fraction,subject_attention_mass,subject_lift
frame_000,frame_001,0,1,5,1,False,False,407,ambulance,0.20327061212613798,1.5932171230214092,0.5196596384048462,0.4803403615951538,0.01894897780657574,5.745861866011255,0.09698275862068965,0.1707899729945892,1.7610343882108754
frame_000,frame_002,0,2,5,2,False,False,444,"bicycle-built-for-two, tandem bicycle, tandem",0.13047112270662012,2.0366033586474583,0.5055670738220215,0.4944329261779785,0.014700137121812479,5.754433105186245,0.09051724137931035,0.1655195235116233,1.8285966406998384
frame_000,frame_003,0,3,5,3,False,False,407,ambulance,0.2015017291431778,1.601957316276498,0.5359689593315125,0.46403104066848755,0.01077421487627093,5.73871622917763,0.09482758620689655,0.2042451801515462,2.1538582634163053
frame_000,frame_004,0,4,5,4,False,False,444,"bicycle-built-for-two, tandem bicycle, tandem",0.3398919260795761,1.0791275763733843,0.595255434513092,0.40474456548690796,0.01538558025248907,5.669428615883153,0.08405172413793104,0.21424636528847174,2.5489823972782277
frame_000,frame_005,0,5,5,5,False,False,407,ambulance,0.3168689413103473,1.149267024944618,0.5465472936630249,0.4534527063369751,0.012511021549506958,5.6958670565558185,0.09051724137931035,0.21435999154634494,2.3681675256548584
frame_000,frame_006,0,6,5,6,False,True,407,ambulance,0.20271394967644382,1.5959594085707431,0.4976463317871094,0.5023536682128906,0.014992251100936528,5.688709604113844,0.08836206896551724,0.22789925677089942,2.5791525644316424
frame_000,frame_007,0,7,5,7,False,False,874,"trolleybus, trolley coach, trackless trolley",0.2632530522172589,1.334639533667711,0.5545852184295654,0.44541478157043457,0.013746472030823161,5.696942434097185,0.09698275862068965,0.2014918067567663,2.077604407447546
frame_000,frame_008,0,8,5,8,False,False,874,"trolleybus, trolley coach, trackless trolley",0.1794903114814786,1.7176340475440535,0.554192066192627,0.44580793380737305,0.010635130397928858,5.7364859970984,0.09698275862068965,0.16095221971259965,1.659596221036583
frame_000,frame_009,0,9,5,9,False,False,830,stretcher,0.31457938053398476,1.1565188323559372,0.6193962693214417,0.38060373067855835,0.03601394576316481,5.609902220968688,0.05387931034482758,0.23963223817470278,4.4475743405224835
frame_000,frame_010,0,10,5,10,False,False,422,barbell,0.34195593866146956,1.0730733845425746,0.694621205329895,0.305378794670105,0.028948308757825666,5.516033549398806,0.07112068965517242,0.36130233210948737,5.080129760569761
frame_000,frame_011,0,11,5,11,False,False,422,barbell,0.509989632325597,0.673364882243737,0.6411625742912292,0.35883742570877075,0.027329375361694275,5.644232463629631,0.07543103448275862,0.24735148704034046,3.2791739996205136
frame_000,frame_012,0,12,5,12,False,False,830,stretcher,0.5374522823802008,0.6209152998882956,0.6933852434158325,0.3066147565841675,0.039860248677912144,5.574946444098436,0.11637931034482758,0.27723831726537346,2.3821959113172833
frame_000,frame_013,0,13,5,13,True,False,840,"swab, swob, mop",0.4476478204005407,0.8037484708950817,0.7306418418884277,0.26935815811157227,0.020898648066499364,5.585633115947319,0.1724137931034483,0.3978551737666549,2.3075600078465985
